step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,CASH_OUT,811.96,C10,3768.66,2956.7,C38,3287.6,4099.57,0,0
1,TRANSFER,143.55,C25,3920.45,3776.9,C4,1825.92,1969.47,0,0
1,TRANSFER,59.49,C2,2542.54,2483.04,C40,487.35,546.85,0,0
1,CASH_OUT,14.48,C34,3371.44,3356.96,C50,4210.12,4224.6,0,0
1,PAYMENT,105.81,C12,3199.7,3093.89,C1,1505.0,1610.81,0,0
1,PAYMENT,115.23,C7,1562.48,1447.25,C1,1610.81,1726.05,0,0
1,CASH_OUT,8.95,C24,1408.94,1399.99,C40,546.85,555.8,0,0
1,DEBIT,32.1,C22,4630.2,4598.1,C18,3643.05,3675.15,0,0
1,CASH_IN,22.18,C34,3356.96,3334.77,C43,1886.45,1908.63,0,0
1,DEBIT,177.7,C2,2483.04,2305.34,C39,3047.16,3224.86,0,0
1,PAYMENT,349.06,C7,1447.25,1098.19,C12,3093.89,3442.95,0,0
1,PAYMENT,189.02,C6,252.97,63.95,C5,547.2,736.22,0,0
1,CASH_IN,842.41,C39,3224.86,2382.45,C11,371.63,1214.04,0,0
1,CASH_OUT,114.4,C49,2189.59,2075.19,C46,2599.85,2714.25,0,0
1,TRANSFER,173.36,C25,3776.9,3603.54,C42,4576.47,4749.83,0,0
1,CASH_IN,59.8,C26,4820.83,4761.03,C25,3603.54,3663.34,0,0
1,CASH_OUT,671.37,C2,2305.34,1633.97,C5,736.22,1407.59,0,0
1,CASH_IN,201.24,C45,281.12,79.87,C27,650.02,851.26,0,0
1,TRANSFER,104.54,C37,4089.19,3984.66,C14,4016.34,4120.88,0,0
1,PAYMENT,61.57,C34,3334.77,3273.2,C35,4364.73,4426.3,0,0
2,TRANSFER,128.29,C38,4099.57,3971.27,C3,593.02,721.31,0,0
2,TRANSFER,21.47,C30,1721.55,1700.07,C42,4749.83,4771.3,0,0
2,CASH_IN,46.34,C15,3737.44,3691.11,C37,3984.66,4030.99,0,0
